Battery Name,Power Capacity (mAh),Voltage (V),Energy (Wh),Continuous Discharge Rate (C),Maximum Discharge Rate (c),Weight (kg),Dimensions mm x mm x mm,# of Cells,Cost ($),Link
OKCELL 12S 16000mAh Intelligent Battery for Drone,"16,000.00",44.40,,,,4.600,163 x 91 x 218,12.00,$539.00,https://www.foxtechfpv.com/12s-16000mah-intelligent-battery-for-agriculture-spraying-drone.html
FoxTech 6S 16000mAh 25 C Lipo Battery,"16,000.00",22.2,,,25.00,2.400,195 x 90 x 58,6.00,$359.00,https://www.foxtechfpv.com/6s-16000mah-lipo-battery-high-discharge-for-rc-multicopter-helicopter-plane.html
"Unmanned RC High Power Density Light Weight Drone Solid State Lithium Battery
","22,000.00",22.2,,,,1.960,200 x 75 x 65,6.00,$430.00,https://unmannedrc.com/products/high-power-density-light-weight-drone-solid-state-lithium-battery?variant=37967898378437
OKCELL 12S 22000mAh Intelligent Lipo Battery,"22,000.00",44.4,,,,6.500,173 x 110 x 243,12.00,$699.00,https://www.foxtechfpv.com/12s-22000mah-intelligent-lipo-battery-agriculture-drone.html
OKCELL 14S 28000mAh Intelligent Battery,,,,,,,,,,
DIAMOND 6S 22000mAh solid-state li-ion battery,"22,000.00",22.2,488.4,5,10,1.963,195 x 75 z 65,6.00,$399.00,https://www.foxtechfpv.com/foxtech-diamond-6s-22000mah-semi-solid-state-li-ion-battery.html
DIAMOND 6S 27000mAh solid-state li-ion battery,"27,000.00",22.2,599.4,5,10,2.349,205 x 88 x 62,6.00,$489.00,https://www.foxtechfpv.com/foxtech-diamond-6s-22000mah-semi-solid-state-li-ion-battery.html
DIAMOND 6S 30000mAh solid-state li-ion battery,"30,000.00",22.2,666,5,10,2.619,207 x 90 x 67,6.00,$509.00,https://www.foxtechfpv.com/foxtech-diamond-6s-22000mah-semi-solid-state-li-ion-battery.html
DIAMOND 6S 23000mAh solid-state li-ion battery,"23,000.00",22.2,510.6,7,10,2.552,225 x 108 x 53,6.00,,https://www.foxtechfpv.com/foxtech-diamond-6s-22000mah-semi-solid-state-li-ion-battery.html
Tattu 32000mAh 22.8V 10C 6S1P,"32,000.00",22.8,729.6,10,20,3.575,218x120x61,6.00,$459.00,https://www.yangdaonline.com/gens-tattu-32000mah-22-2v-10c-6s1p-high-voltage-lipo-battery-pack/
Tattu 40000mAh 22.8V 10C 6S1P,"40,000.00",22.8,912,10,20,4.13,263 x 122 x 64,6.00,$865.20,https://genstattu.com/tattu-40000mah-10c-6s1p-22-8v-high-voltage-uav-lipo-battery-pack-with-as150-xt150-plug/
Tattu 10000mAh 22.2V 25C Lipo Battery,"10,000.00",22.2,222,,25,1.36,58 x 66 x 177,6,$159,https://www.foxtechfpv.com/tattu-22-2v-6s-10000mah-25c-lipo-battery-xt90s.html
NAGA Series Battery,"28,000.00",25.9,725.2,3,10,2.80,225 x 72 x 87,6,$699,https://www.foxtechfpv.com/naga-series-battery.html
Tattu 30000mAh 22.2V 25C Lipo Battery Pack,"30,000.00",22.2,666,,25,3.38,225 x 63 x 122,6,$518.95,https://nassaunationalcable.com/products/tattu-30000mah-6s1p-22-2v-25c-lipo-battery-pack-with-as150-xt150-plug?variant=42092962316442&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=siraj&utm_campaign=siraj&gclid=CjwKCAjwtp2bBhAGEiwAOZZTuK1d6AL5QPTuAbbg2S8slmidhjk9a0IY80rqC5GmvalQKiDUyv6y7xoCFpgQAvD_BwE
T-Drones Ares 6s 30000mAh Li-ion Rechargable,"30,000.00",22.2,488,5,10,1.95,210 x 90 x 68,6,"$1,199",https://tmotor.en.made-in-china.com/product/hyPQINDuCvWA/China-T-Drones-Ares-6s-30000mAh-New-Solid-Li-ion-5c-Rechargeable-Drone-Battery.html
Foxtech 6S 12500mAh Li-ion Battery,"12,500.00",22.2,278,3,,1.20,160 x 70 x 50,6,$239,https://www.foxtechfpv.com/foxtech-6s-12500mah-li-ion-battery.html
Li-ion 10000 11S2P 39.6v Battery Pack,"10,000.00",39.6,396,5,19.6,1.52,231 x 42 x 70,11,615.99,https://maxamps.com/collections/lithium-batteries/products/li-ion-10000-11s2p-39-6v-battery-pack
Tattu 23000 mAh 22.8V LiHv Pouch Cell,"23,000.00",22.8,524,,25,2.47,208 x 91 x 63,6,$655,https://www.grepow.com/uav-battery/tattu-23000mah-22-8-v-lihv-pouch-cell-uav-battery.html
FoxTech 6S 22000 mAh Lipo Battery,"22,000.00",22.2,488,18,50,2.67,200 x 96 x 68,6,$484,https://www.foxtechfpv.com/6s-22000mah-lipo-battery-high-discharge-for-rc-multicopter-helicopter-plane.html#yt_tab_products1
Tattu 22.2V 22000 mAh Lipo Battery,"22,000.00",22.2,488,25,50,2.43,64 x 91 x 207,6,$259.00,https://www.foxtechfpv.com/tattu-22-2v-6s-22000mah-25c-lipo-battery.html
