,,,,Dimensions (mm),,,Voltages (V),,,,Thrust At All Throttle %'s (g),,N,,,,,,,,,,,,,CURRENT At All Throttle %'s(A),,,,,,,,,,,,,,,POWER At All Throttle %'s (W),,,,,,,,,,,,,,,RPM At All Throttle %'s,,,,,,,,,,,,,,
Motor_Name,Cost,Weight (g),Kv (RPM/Volt),Motor Diam ,Motor Length,Shaft Diam,Min,Max,PropD (in),Pitch ,25,37.5,40,45,50,55,60,62.5,65,70,75,80,87.5,90,100,25,37.5,40,45,50,55,60,62.5,65,70,75,80,87.5,90,100,25,37.5,40,45,50,55,60,62.5,65,70,75,80,87.5,90,100,25,37.5,40,45,50,55,60,62.5,65,70,75,80,87.5,90,100
KDE4215XF-465,153.95,250,465,48.2,36,4,23.1,26.1,15.5,5.3,6.0822,10.3986,0,0,16.3827,0,0,23.8383,0,0,32.7654,0,43.2621,0,52.5816,2.4,4.7,,,8.5,,,14.6,,,23.2,,35.5,,45.2,62,122,,,221,,,381,,,605,,926,,1179,3360,4260,,,5340,,,6420,,,7500,,8560,,9300
KDE4215XF-465,153.95,250,465,48.2,36,4,23.1,26.1,18.5,6.3,8.2404,16.0884,0,0,24.2307,0,0,34.2369,0,0,43.8507,0,54.4455,0,69.651,3,7,,,13,,,22,,,34,,49.2,,68.6,78,182,,,339,,,574,,,887,,1284,,1790,2760,3840,,,4740,,,5640,,,6363,,7200,,7860
KDE5215XF-330,201.95,360,330,60,41,4,23.1,26.1,18.5,5.3,5.886,10.3986,0,0,16.677,0,0,24.1326,0,0,33.2559,0,43.7526,0,55.6227,2,3.9,,,7.3,,,12,,,19,,28.3,,37.9,52,101,,,190,,,313,,,495,,738,,989,2340,3120,,,3960,,,4800,,,5580,,6380,,7080
KDE5215XF-330,201.95,360,330,60,41,4,23.1,26.1,21.5,7.3,8.9271,17.1675,0,0,26.8794,0,0,39.3381,0,0,49.9329,0,63.8631,0,81.1287,2.8,6.5,,,12.5,,,21.9,,,32,,48.2,,65.5,73,169,,,326,,,571,,,835,,1258,,1709,2180,2880,,,3600,,,4320,,,4820,,5480,,6000
KDE7215XF-135,383.95,640,135,80.8,49.5,10,23.1,26.1,30.5,9.7,6.0822,12.5568,0,0,21.6801,0,0,31.9806,0,0,44.0469,0,56.4075,0,72.9864,1.1,2.7,,,5.8,,,10.2,,,16.5,,24.1,,33.9,28,70,,,151,,,266,,,430,,629,,884,840,1260,,,1620,,,1980,,,2340,,2640,,2940
U8 II Pro,309.99,287,100,87.3,29.55,12,47,48,27,8.8,0,0,19.99278,24.93702,29.43,33.92298,38.80836,0,44.05671,47.95128,53.38602,58.44798,0,69.18012,82.81602,,,3.47,4.68,5.95,7.24,8.72,,10.43,11.87,13.9,16.05,,20.75,27.64,,,165,223,283,344,414,,495,561,656,756,,973,1289,,,1935,2155,2330,2489,2651,,2808,2926,3078,3220,,3488,3794
U8 II Pro,309.99,287,100,87.3,29.55,12,47,48,28,9.2,0,0,22.1706,27.88983,32.44167,37.15047,42.40863,0,47.58831,52.93476,57.92805,63.55899,0,75.17403,89.48682,,,3.92,5.43,6.71,8.19,9.87,,11.71,13.79,15.72,17.96,,23.31,31.11,,,186,257,317,387,466,,551,647,736,840,,1088,1450,,,1900,2120,2277,2434,2586,,2729,2863,2991,3120,,3367,3673
U8 Lite L KV95,329.9,280,95,87.1,28.05,15,47,48,29,9.5,0,0,16.92225,21.17979,25.54524,30.33252,34.85493,0,40.221,44.86113,51.14934,58.26159,0,70.54371,83.59101,,,2.6,3.56,4.66,5.95,7.22,,8.87,10.53,12.74,15.4,,20.62,27,,,124,170,222,284,345,,423,501,606,732,,977,1276,,,1759,1761,1929,2095,2247,,2414,2548,2705,2887,,3157,3439
U8 Lite L KV95,329.9,280,95,87.1,28.05,15,47,48,30,10.5,0,0,19.60038,24.21108,28.72368,33.61887,38.7495,0,44.50797,49.20696,56.34864,63.83367,0,77.81292,92.46906,,,3.04,4.12,5.31,6.84,8.35,,10.33,12.02,14.64,17.58,,24.03,31.89,,,146,197,253,326,398,,492,572,695,834,,1137,1504,,,1561,1735,1900,2056,2201,,2360,2490,2635,2794,,3056,3318
U8 Lite L KV95,329.9,280,95,87.1,28.05,15,47,48,32,11,0,0,24.44652,30.28347,36.02232,41.36877,47.85318,0,54.72018,61.32231,67.0023,74.42847,0,89.70264,104.09391,,,3.97,5.39,6.89,8.59,10.68,,13.01,15.58,17.98,21.27,,29.14,38.15,,,190,257,328,409,508,,618,740,853,1008,,1375,1794,,,1517,1681,1826,1966,2110,,2252,2383,2504,2636,,2873,3068
